@relation movie-reviews

@attribute positive numeric
@attribute negative numeric
@attribute pleasur numeric
@attribute arousal numeric
@attribute pain numeric
@attribute virtue numeric
@attribute hostile numeric
@attribute class {POSITIVE,NEGATIVE}

@data
60,42,0,1,0,11,10,POSITIVE
123,54,2,10,3,19,1,POSITIVE
103,46,5,4,7,14,3,POSITIVE
44,16,1,1,3,7,5,POSITIVE
126,95,7,5,2,20,6,POSITIVE
105,37,2,2,8,17,4,POSITIVE
59,68,1,0,1,11,8,POSITIVE
190,52,8,1,2,23,4,POSITIVE
47,29,1,2,0,3,5,POSITIVE
72,61,0,0,8,9,5,POSITIVE
139,91,3,3,3,28,8,POSITIVE
105,105,4,1,3,20,9,POSITIVE
154,90,4,10,3,21,17,POSITIVE
125,26,7,0,1,15,4,POSITIVE
105,28,2,1,3,9,4,POSITIVE
72,43,0,0,0,16,4,POSITIVE
103,48,3,4,5,15,2,POSITIVE
172,107,6,1,4,28,13,POSITIVE
159,42,9,3,2,29,4,POSITIVE
67,52,4,2,0,10,5,POSITIVE
91,43,3,3,1,19,3,POSITIVE
116,88,3,3,4,17,6,POSITIVE
192,75,8,5,2,34,8,POSITIVE
63,27,1,3,1,15,3,POSITIVE
119,34,3,6,2,20,6,POSITIVE
62,65,2,1,1,8,10,POSITIVE
159,32,0,1,1,23,5,POSITIVE
152,108,1,2,0,26,28,POSITIVE
74,68,0,0,2,14,9,POSITIVE
93,60,1,5,2,14,12,POSITIVE
37,20,0,0,1,4,3,POSITIVE
135,41,2,1,1,19,6,POSITIVE
44,37,1,0,0,4,1,POSITIVE
100,30,2,3,2,18,3,POSITIVE
47,11,1,2,0,6,0,POSITIVE
72,39,3,3,1,12,2,POSITIVE
234,62,6,7,1,39,5,POSITIVE
107,62,1,1,0,19,3,POSITIVE
108,37,0,4,4,15,0,POSITIVE
129,20,1,0,1,25,3,POSITIVE
82,79,2,0,2,13,14,POSITIVE
105,39,3,0,4,16,4,POSITIVE
188,206,1,2,4,32,32,POSITIVE
66,63,1,2,1,9,6,POSITIVE
116,87,2,1,5,28,11,POSITIVE
149,95,4,5,5,28,6,POSITIVE
69,39,3,1,1,6,6,POSITIVE
67,24,1,0,2,17,3,POSITIVE
149,104,1,3,6,29,14,POSITIVE
58,33,2,0,1,8,5,POSITIVE
191,57,13,3,0,24,13,POSITIVE
110,62,2,2,7,17,2,POSITIVE
90,16,4,0,2,15,1,POSITIVE
51,34,0,2,3,6,3,POSITIVE
112,39,1,6,0,17,1,POSITIVE
98,102,1,5,14,18,6,POSITIVE
85,120,9,2,10,18,12,POSITIVE
34,19,4,0,0,2,2,POSITIVE
58,62,2,1,0,10,4,POSITIVE
47,21,5,0,0,5,0,POSITIVE
47,102,3,4,4,9,9,POSITIVE
176,99,2,16,14,19,10,POSITIVE
27,19,0,0,0,3,3,POSITIVE
130,118,1,5,6,22,22,POSITIVE
62,69,4,1,3,13,8,POSITIVE
76,34,0,0,5,13,2,POSITIVE
34,18,0,1,0,6,1,POSITIVE
74,39,3,2,2,8,5,POSITIVE
79,20,0,1,2,11,2,POSITIVE
73,66,3,2,0,8,11,POSITIVE
25,17,0,0,0,4,2,POSITIVE
46,38,3,1,0,5,3,POSITIVE
194,75,9,11,0,22,6,POSITIVE
162,49,8,2,2,25,6,POSITIVE
110,55,0,5,5,21,1,POSITIVE
100,74,0,5,1,18,16,POSITIVE
82,29,0,2,0,13,6,POSITIVE
131,50,2,2,1,24,4,POSITIVE
121,58,2,4,1,22,5,POSITIVE
82,103,6,0,1,13,12,POSITIVE
129,101,6,1,10,12,10,POSITIVE
118,48,5,5,2,13,6,POSITIVE
177,120,1,5,1,23,18,POSITIVE
96,52,3,3,2,14,9,POSITIVE
78,50,0,0,1,20,7,POSITIVE
79,33,3,0,0,7,4,POSITIVE
49,19,7,1,0,3,3,POSITIVE
110,62,2,1,0,21,10,POSITIVE
68,52,1,1,0,7,10,POSITIVE
122,56,5,1,3,16,5,POSITIVE
119,133,2,4,5,18,19,POSITIVE
43,45,1,1,0,2,12,POSITIVE
34,33,3,1,2,9,1,POSITIVE
55,48,7,1,1,11,3,POSITIVE
170,58,1,4,3,17,7,POSITIVE
125,21,7,1,2,14,0,POSITIVE
186,35,9,3,3,22,5,POSITIVE
145,54,5,4,1,19,9,POSITIVE
9,0,0,1,0,1,0,POSITIVE
80,28,1,2,0,12,2,POSITIVE
67,7,2,2,1,11,2,POSITIVE
79,109,4,1,6,9,12,POSITIVE
99,80,4,2,5,18,12,POSITIVE
27,42,0,3,4,6,5,POSITIVE
28,24,0,0,0,3,3,POSITIVE
62,49,2,0,0,6,7,POSITIVE
79,20,0,4,1,15,3,POSITIVE
15,17,1,0,2,6,3,POSITIVE
38,6,1,0,0,9,1,POSITIVE
203,159,6,0,7,37,28,POSITIVE
56,27,0,1,1,12,1,POSITIVE
18,21,1,0,3,4,4,POSITIVE
129,52,0,2,1,29,3,POSITIVE
100,92,3,2,0,8,17,POSITIVE
141,37,3,7,3,14,1,POSITIVE
130,138,2,3,2,24,29,POSITIVE
173,64,1,4,0,36,9,POSITIVE
71,63,5,2,3,11,3,POSITIVE
18,43,0,0,1,6,7,POSITIVE
61,21,1,1,1,9,0,POSITIVE
85,33,1,1,1,16,2,POSITIVE
104,68,4,4,3,14,6,POSITIVE
82,55,0,2,0,16,8,POSITIVE
65,40,0,0,0,16,4,POSITIVE
236,46,11,3,1,38,8,POSITIVE
121,67,3,3,1,17,7,POSITIVE
151,68,0,3,2,32,5,POSITIVE
168,73,7,4,1,23,3,POSITIVE
53,23,1,1,0,6,3,POSITIVE
88,42,7,2,2,13,3,POSITIVE
67,81,2,0,8,15,4,POSITIVE
56,31,3,0,0,9,3,POSITIVE
57,34,2,2,2,11,5,POSITIVE
97,32,0,1,0,12,5,POSITIVE
70,52,2,2,0,14,5,POSITIVE
61,102,3,1,1,15,15,POSITIVE
133,85,2,2,2,17,11,POSITIVE
51,106,0,2,3,4,14,POSITIVE
71,85,1,1,2,16,5,POSITIVE
104,55,0,4,7,19,6,POSITIVE
88,26,0,0,1,12,5,POSITIVE
11,21,0,0,0,1,1,POSITIVE
71,102,0,3,2,11,17,POSITIVE
61,62,1,2,2,16,7,POSITIVE
115,50,1,1,3,26,4,POSITIVE
87,45,1,5,1,12,6,POSITIVE
138,74,1,1,3,21,7,POSITIVE
166,46,4,12,2,23,4,POSITIVE
133,45,1,0,0,16,6,POSITIVE
103,49,0,1,2,28,3,POSITIVE
76,63,0,0,0,13,11,POSITIVE
139,61,3,5,1,26,2,POSITIVE
130,98,0,2,4,27,11,POSITIVE
143,49,4,5,0,20,4,POSITIVE
131,150,3,3,9,19,8,POSITIVE
69,49,2,2,2,7,5,POSITIVE
126,32,1,2,0,24,2,POSITIVE
71,20,3,1,0,13,1,POSITIVE
52,32,2,0,4,8,4,POSITIVE
82,67,2,4,0,19,7,POSITIVE
123,71,5,2,2,9,4,POSITIVE
208,111,2,5,2,53,10,POSITIVE
62,51,1,2,2,7,8,POSITIVE
187,142,2,4,3,34,27,POSITIVE
62,43,1,2,1,12,3,POSITIVE
99,23,8,2,6,12,2,POSITIVE
71,32,1,0,1,10,3,POSITIVE
27,22,0,1,3,3,1,POSITIVE
33,22,0,1,0,2,1,POSITIVE
14,14,0,0,0,4,0,POSITIVE
73,49,1,3,2,15,1,POSITIVE
61,39,6,2,2,6,2,POSITIVE
54,44,1,2,2,8,5,POSITIVE
108,30,7,2,4,15,1,POSITIVE
85,95,1,6,1,18,19,POSITIVE
75,57,2,1,2,9,7,POSITIVE
55,46,3,4,2,10,6,POSITIVE
98,49,2,4,3,20,8,POSITIVE
100,41,1,4,1,20,8,POSITIVE
46,7,0,0,0,6,0,POSITIVE
189,101,7,7,2,34,4,POSITIVE
157,59,12,3,4,24,6,POSITIVE
48,75,0,4,6,4,13,POSITIVE
191,54,18,5,3,22,5,POSITIVE
100,21,4,1,1,12,2,POSITIVE
24,7,2,2,1,3,1,POSITIVE
48,51,3,0,0,5,9,POSITIVE
40,0,2,2,0,6,1,POSITIVE
79,111,3,0,2,9,12,POSITIVE
107,60,6,1,3,15,9,POSITIVE
109,59,1,2,3,15,6,POSITIVE
27,8,1,1,0,7,1,POSITIVE
92,53,3,2,0,13,8,POSITIVE
93,29,7,0,2,13,2,POSITIVE
59,32,1,1,2,16,0,POSITIVE
54,44,0,5,7,8,9,POSITIVE
54,48,0,0,0,7,8,POSITIVE
74,31,1,1,1,10,4,POSITIVE
46,58,2,3,4,6,3,POSITIVE
45,73,2,2,0,6,8,POSITIVE
78,76,5,3,5,12,5,POSITIVE
66,67,0,3,0,13,11,POSITIVE
113,95,7,2,0,18,7,POSITIVE
68,69,4,2,0,13,9,POSITIVE
85,89,0,2,8,12,14,POSITIVE
37,51,1,1,1,7,7,POSITIVE
260,109,3,14,4,33,11,POSITIVE
65,23,2,2,0,11,0,POSITIVE
88,22,1,1,2,9,2,POSITIVE
116,38,9,2,2,15,4,POSITIVE
94,97,2,4,0,17,19,POSITIVE
20,49,1,0,0,7,6,POSITIVE
116,26,4,4,0,23,2,POSITIVE
67,46,0,3,6,15,7,POSITIVE
130,18,5,2,1,14,5,POSITIVE
99,75,2,0,0,11,12,POSITIVE
200,77,7,4,4,41,5,POSITIVE
100,34,5,3,2,17,3,POSITIVE
66,96,2,1,6,12,7,POSITIVE
139,88,2,3,1,26,10,POSITIVE
32,15,3,0,1,4,0,POSITIVE
47,15,3,1,2,4,2,POSITIVE
93,82,0,0,8,15,15,POSITIVE
96,37,2,1,1,13,4,POSITIVE
91,30,3,6,1,11,2,POSITIVE
19,9,0,0,0,5,0,POSITIVE
53,42,1,2,1,10,4,POSITIVE
45,22,1,0,1,6,2,POSITIVE
101,42,5,0,0,12,4,POSITIVE
60,25,1,1,1,7,1,POSITIVE
52,28,2,1,0,9,0,POSITIVE
96,61,4,3,2,14,4,POSITIVE
114,79,1,1,2,19,13,POSITIVE
136,43,5,1,3,15,4,POSITIVE
40,38,1,3,0,7,1,POSITIVE
69,32,1,1,0,9,4,POSITIVE
128,62,1,1,0,21,3,POSITIVE
183,121,7,3,4,23,13,POSITIVE
101,11,4,1,0,10,3,POSITIVE
128,86,2,0,1,18,18,POSITIVE
119,54,4,4,9,14,7,POSITIVE
113,54,3,4,0,20,6,POSITIVE
73,35,0,0,1,17,1,POSITIVE
82,16,2,2,0,9,1,POSITIVE
101,50,1,4,3,23,5,POSITIVE
26,39,0,1,0,6,3,POSITIVE
114,68,2,3,4,23,8,POSITIVE
123,54,4,2,2,28,10,POSITIVE
39,22,2,3,0,3,3,POSITIVE
75,64,7,10,1,9,17,POSITIVE
37,19,1,0,0,9,2,POSITIVE
74,26,5,1,1,10,3,POSITIVE
185,151,5,4,1,34,12,POSITIVE
65,81,2,1,3,10,8,POSITIVE
97,62,2,7,6,23,5,POSITIVE
121,44,5,1,2,19,7,POSITIVE
68,54,0,0,3,9,11,POSITIVE
135,32,1,2,3,19,3,POSITIVE
45,17,1,0,0,6,3,POSITIVE
76,28,2,1,0,14,2,POSITIVE
110,42,3,3,1,18,4,POSITIVE
90,26,1,5,4,10,4,POSITIVE
49,19,1,1,1,2,5,POSITIVE
79,52,0,4,2,14,11,POSITIVE
70,63,3,0,1,14,5,POSITIVE
60,18,1,0,0,9,5,POSITIVE
185,85,3,4,7,36,19,POSITIVE
82,26,0,1,2,11,1,POSITIVE
83,23,4,2,0,9,4,POSITIVE
125,40,6,4,3,7,3,POSITIVE
67,37,1,0,2,8,5,POSITIVE
86,62,1,5,3,12,7,POSITIVE
200,83,5,5,2,35,9,POSITIVE
125,115,2,3,3,12,21,POSITIVE
185,88,4,5,2,35,9,POSITIVE
76,5,0,1,0,7,1,POSITIVE
33,42,0,0,2,7,2,POSITIVE
137,51,0,6,1,24,3,POSITIVE
56,42,3,0,4,12,5,POSITIVE
149,76,4,1,7,17,8,POSITIVE
142,164,2,11,2,29,19,POSITIVE
85,59,1,5,3,11,8,POSITIVE
45,37,1,0,0,11,4,POSITIVE
54,97,3,1,7,12,14,POSITIVE
71,18,2,0,0,10,3,POSITIVE
61,52,0,2,0,14,8,POSITIVE
58,39,2,0,1,12,10,POSITIVE
36,52,0,0,0,4,6,POSITIVE
109,51,2,0,4,5,11,POSITIVE
140,60,3,4,11,24,1,POSITIVE
226,208,9,5,2,36,16,POSITIVE
77,49,6,1,4,6,7,POSITIVE
47,25,2,0,2,9,2,POSITIVE
108,55,2,3,4,15,6,POSITIVE
40,22,0,0,0,8,1,POSITIVE
119,15,4,1,1,15,2,POSITIVE
54,76,1,1,1,6,15,POSITIVE
78,42,4,2,1,21,5,POSITIVE
97,18,2,1,0,12,3,POSITIVE
128,76,5,3,0,22,6,POSITIVE
78,74,0,2,4,13,4,POSITIVE
53,35,2,0,0,9,3,POSITIVE
83,56,1,3,0,10,11,POSITIVE
63,12,2,5,2,12,2,POSITIVE
77,86,2,2,14,16,14,POSITIVE
60,57,1,1,7,9,2,POSITIVE
74,34,3,3,1,6,3,POSITIVE
104,56,4,3,0,16,6,POSITIVE
141,90,3,1,0,18,12,POSITIVE
65,64,2,2,0,12,8,POSITIVE
58,31,3,3,5,6,3,POSITIVE
192,57,3,4,0,46,7,POSITIVE
56,40,3,0,1,10,7,POSITIVE
54,41,3,0,0,10,8,POSITIVE
97,68,2,0,0,14,7,POSITIVE
68,68,2,3,3,12,8,POSITIVE
71,67,4,3,4,12,4,POSITIVE
167,71,9,3,5,22,5,POSITIVE
78,41,0,2,4,10,5,POSITIVE
151,62,1,3,2,17,4,POSITIVE
27,18,1,1,1,10,0,POSITIVE
67,41,0,1,1,16,2,POSITIVE
101,87,3,3,0,19,6,POSITIVE
144,38,5,6,1,20,3,POSITIVE
95,22,2,1,0,18,6,POSITIVE
110,63,0,1,3,21,6,POSITIVE
69,37,1,0,0,19,3,POSITIVE
85,54,2,4,1,22,3,POSITIVE
90,30,5,2,0,17,3,POSITIVE
114,28,3,3,3,16,5,POSITIVE
148,74,5,7,8,17,8,POSITIVE
29,3,0,1,0,6,0,POSITIVE
126,72,9,3,0,17,3,POSITIVE
156,46,0,1,4,21,4,POSITIVE
84,45,3,3,0,15,3,POSITIVE
95,46,4,2,3,16,6,POSITIVE
164,95,1,5,2,29,9,POSITIVE
69,75,1,1,1,12,11,POSITIVE
73,29,1,2,0,12,2,POSITIVE
120,39,2,3,1,25,4,POSITIVE
46,43,1,3,1,8,5,POSITIVE
150,163,2,8,10,23,27,POSITIVE
88,71,2,3,2,19,9,POSITIVE
106,73,1,3,3,15,10,POSITIVE
53,62,1,2,2,9,8,NEGATIVE
19,17,1,0,0,4,5,NEGATIVE
44,50,0,2,0,8,3,NEGATIVE
57,50,1,1,2,8,6,NEGATIVE
75,45,0,3,2,7,6,NEGATIVE
54,114,0,2,7,10,12,NEGATIVE
47,60,0,0,1,13,8,NEGATIVE
57,43,2,1,6,6,3,NEGATIVE
81,63,3,5,4,14,7,NEGATIVE
93,63,3,1,1,7,6,NEGATIVE
69,59,2,2,4,13,6,NEGATIVE
53,10,5,1,2,7,2,NEGATIVE
28,37,0,0,0,2,1,NEGATIVE
74,86,1,1,0,11,12,NEGATIVE
42,40,1,2,1,7,6,NEGATIVE
64,42,0,2,2,11,6,NEGATIVE
46,51,1,2,0,4,6,NEGATIVE
78,52,5,0,1,8,4,NEGATIVE
70,26,1,2,0,7,3,NEGATIVE
119,65,1,1,0,16,8,NEGATIVE
91,97,2,0,1,11,11,NEGATIVE
45,62,0,2,1,10,5,NEGATIVE
56,83,2,0,0,9,7,NEGATIVE
94,77,0,1,1,14,13,NEGATIVE
108,66,3,5,2,15,8,NEGATIVE
64,18,2,7,0,8,1,NEGATIVE
53,42,2,2,0,16,6,NEGATIVE
132,117,1,5,0,23,16,NEGATIVE
39,26,2,2,2,6,2,NEGATIVE
29,24,1,0,1,4,1,NEGATIVE
32,45,0,1,0,8,7,NEGATIVE
118,66,4,5,1,18,3,NEGATIVE
148,173,6,9,1,29,25,NEGATIVE
91,57,0,1,1,12,8,NEGATIVE
16,44,0,4,2,3,2,NEGATIVE
75,38,1,3,1,7,3,NEGATIVE
41,30,0,0,2,9,3,NEGATIVE
43,39,2,6,3,8,3,NEGATIVE
58,107,1,7,0,12,10,NEGATIVE
123,67,0,1,0,22,10,NEGATIVE
15,28,0,0,1,3,3,NEGATIVE
44,68,0,2,0,12,5,NEGATIVE
62,30,3,1,0,10,0,NEGATIVE
39,13,2,0,0,8,1,NEGATIVE
66,32,1,1,0,13,4,NEGATIVE
73,39,4,2,1,11,5,NEGATIVE
99,83,3,2,2,17,6,NEGATIVE
95,67,1,4,1,20,8,NEGATIVE
47,50,1,1,1,5,7,NEGATIVE
51,30,3,1,1,6,1,NEGATIVE
61,31,1,2,3,12,1,NEGATIVE
34,42,0,0,1,7,4,NEGATIVE
46,16,0,2,3,9,1,NEGATIVE
113,72,4,1,1,8,7,NEGATIVE
100,52,3,1,1,16,5,NEGATIVE
32,34,4,2,0,8,3,NEGATIVE
82,37,0,0,0,9,8,NEGATIVE
20,27,0,0,1,3,4,NEGATIVE
44,22,1,1,0,7,2,NEGATIVE
64,8,1,0,0,6,1,NEGATIVE
51,47,2,1,3,13,5,NEGATIVE
151,90,5,4,1,19,15,NEGATIVE
79,80,0,0,2,13,14,NEGATIVE
57,69,3,1,0,7,6,NEGATIVE
59,106,1,2,0,15,12,NEGATIVE
104,123,1,4,1,29,8,NEGATIVE
86,57,2,3,1,18,4,NEGATIVE
66,85,4,0,6,10,8,NEGATIVE
52,58,0,0,1,9,8,NEGATIVE
62,112,3,4,2,9,7,NEGATIVE
99,68,0,4,1,9,6,NEGATIVE
39,50,0,1,0,3,8,NEGATIVE
71,64,3,1,3,6,5,NEGATIVE
54,62,3,0,1,11,5,NEGATIVE
26,39,1,1,0,9,0,NEGATIVE
62,44,0,4,1,11,2,NEGATIVE
19,35,1,1,3,1,7,NEGATIVE
111,42,6,3,0,15,6,NEGATIVE
68,68,1,1,2,11,9,NEGATIVE
93,103,5,3,0,18,12,NEGATIVE
39,77,1,0,3,12,6,NEGATIVE
36,30,0,0,1,6,7,NEGATIVE
25,12,0,3,0,4,4,NEGATIVE
93,88,2,3,3,10,7,NEGATIVE
32,27,0,2,1,9,3,NEGATIVE
43,34,1,1,1,10,4,NEGATIVE
112,59,1,1,3,18,0,NEGATIVE
66,73,1,1,3,12,13,NEGATIVE
42,13,3,1,0,6,1,NEGATIVE
71,45,4,2,0,4,4,NEGATIVE
142,67,7,2,2,25,6,NEGATIVE
43,56,1,0,5,9,4,NEGATIVE
67,51,1,1,0,15,6,NEGATIVE
15,13,0,1,1,7,2,NEGATIVE
97,35,2,2,0,8,3,NEGATIVE
30,33,0,1,0,5,3,NEGATIVE
81,75,2,1,1,14,5,NEGATIVE
175,80,3,3,2,32,8,NEGATIVE
52,41,0,1,0,4,4,NEGATIVE
54,47,2,0,3,8,1,NEGATIVE
207,164,5,8,4,33,17,NEGATIVE
51,82,1,1,1,7,12,NEGATIVE
28,30,0,0,0,5,2,NEGATIVE
113,45,2,1,2,16,3,NEGATIVE
22,41,0,2,0,5,3,NEGATIVE
96,38,4,0,2,16,3,NEGATIVE
22,24,0,0,0,3,2,NEGATIVE
225,132,6,5,1,31,15,NEGATIVE
59,45,3,1,1,13,4,NEGATIVE
26,49,1,5,2,6,7,NEGATIVE
48,36,0,3,1,10,6,NEGATIVE
99,88,2,6,1,18,11,NEGATIVE
50,65,2,2,2,14,2,NEGATIVE
41,50,0,3,2,8,12,NEGATIVE
30,9,1,0,0,4,2,NEGATIVE
94,45,1,3,2,17,5,NEGATIVE
59,19,4,1,0,8,2,NEGATIVE
49,26,0,0,1,10,1,NEGATIVE
68,77,0,4,1,11,10,NEGATIVE
58,24,0,0,0,10,7,NEGATIVE
116,49,8,4,1,13,4,NEGATIVE
40,32,1,0,0,7,3,NEGATIVE
150,102,2,2,2,25,6,NEGATIVE
51,49,2,2,2,8,2,NEGATIVE
78,60,1,3,3,9,8,NEGATIVE
67,47,0,3,3,12,7,NEGATIVE
66,72,4,1,0,11,6,NEGATIVE
72,67,0,3,1,11,5,NEGATIVE
27,36,0,0,0,3,4,NEGATIVE
39,39,1,0,0,8,2,NEGATIVE
39,65,0,1,1,4,11,NEGATIVE
171,135,7,9,1,22,17,NEGATIVE
37,40,0,1,1,3,7,NEGATIVE
15,20,0,0,0,5,3,NEGATIVE
131,98,4,1,3,11,11,NEGATIVE
55,29,0,2,1,17,3,NEGATIVE
77,73,0,4,1,12,6,NEGATIVE
68,65,1,4,5,12,12,NEGATIVE
161,104,3,5,4,22,13,NEGATIVE
133,63,0,1,1,24,6,NEGATIVE
145,119,2,4,4,26,8,NEGATIVE
75,124,1,3,3,11,15,NEGATIVE
41,33,4,1,3,8,3,NEGATIVE
58,46,0,2,2,12,2,NEGATIVE
60,71,2,5,1,13,6,NEGATIVE
80,50,2,0,0,10,7,NEGATIVE
80,24,1,2,3,12,3,NEGATIVE
65,70,0,1,0,11,14,NEGATIVE
69,59,0,0,0,11,9,NEGATIVE
51,40,1,2,0,13,5,NEGATIVE
40,58,2,1,0,5,10,NEGATIVE
60,26,2,2,2,3,4,NEGATIVE
76,62,0,0,0,13,4,NEGATIVE
41,40,4,3,1,8,2,NEGATIVE
85,91,2,4,1,14,8,NEGATIVE
29,59,0,1,2,6,6,NEGATIVE
76,30,4,4,0,8,0,NEGATIVE
59,14,4,0,2,7,2,NEGATIVE
51,64,3,0,4,6,10,NEGATIVE
54,45,0,0,1,7,0,NEGATIVE
26,60,0,3,3,6,6,NEGATIVE
91,57,3,2,0,16,4,NEGATIVE
98,81,2,2,9,16,7,NEGATIVE
93,35,3,3,0,11,3,NEGATIVE
46,40,2,4,0,8,7,NEGATIVE
24,23,0,0,0,6,2,NEGATIVE
105,97,4,2,1,17,9,NEGATIVE
51,27,5,0,2,3,3,NEGATIVE
53,24,4,2,0,4,2,NEGATIVE
53,29,1,2,1,9,0,NEGATIVE
49,55,2,2,0,7,5,NEGATIVE
20,15,1,0,3,1,2,NEGATIVE
111,106,2,2,1,17,7,NEGATIVE
25,28,1,0,0,4,0,NEGATIVE
50,59,0,0,2,3,8,NEGATIVE
81,71,1,3,2,11,5,NEGATIVE
76,35,4,2,0,10,2,NEGATIVE
18,6,0,1,0,2,1,NEGATIVE
39,30,0,2,1,9,4,NEGATIVE
45,49,0,2,2,8,8,NEGATIVE
53,78,1,0,0,8,2,NEGATIVE
28,23,0,1,0,4,0,NEGATIVE
54,55,1,4,1,5,10,NEGATIVE
79,29,2,0,4,18,5,NEGATIVE
38,37,0,0,0,5,4,NEGATIVE
60,46,2,3,0,8,5,NEGATIVE
82,66,0,2,0,17,12,NEGATIVE
119,63,0,2,0,18,7,NEGATIVE
86,59,1,1,2,8,11,NEGATIVE
79,53,0,1,0,6,2,NEGATIVE
91,91,0,0,3,8,11,NEGATIVE
69,44,3,2,3,5,2,NEGATIVE
130,62,2,9,1,20,7,NEGATIVE
34,43,3,2,0,3,3,NEGATIVE
36,45,1,2,0,9,4,NEGATIVE
64,42,1,0,2,15,3,NEGATIVE
34,29,2,1,0,4,4,NEGATIVE
9,40,0,0,3,2,4,NEGATIVE
65,34,0,4,2,5,1,NEGATIVE
45,46,0,3,0,11,6,NEGATIVE
165,95,0,8,2,38,7,NEGATIVE
9,12,0,0,1,2,1,NEGATIVE
64,65,1,2,2,13,6,NEGATIVE
32,36,0,1,1,4,4,NEGATIVE
28,55,3,3,0,5,4,NEGATIVE
6,31,2,0,0,2,3,NEGATIVE
46,14,2,4,0,9,1,NEGATIVE
111,71,3,1,4,17,7,NEGATIVE
66,84,0,2,0,15,8,NEGATIVE
75,67,1,2,1,7,7,NEGATIVE
68,106,0,1,4,11,13,NEGATIVE
53,29,1,0,2,11,4,NEGATIVE
47,91,2,1,3,7,11,NEGATIVE
69,65,0,2,5,10,4,NEGATIVE
48,53,0,0,1,8,9,NEGATIVE
61,49,0,0,2,8,5,NEGATIVE
49,22,1,1,1,9,3,NEGATIVE
83,53,3,1,2,7,7,NEGATIVE
41,12,3,0,1,6,0,NEGATIVE
115,124,5,2,2,14,6,NEGATIVE
72,82,4,2,1,10,9,NEGATIVE
58,44,0,0,0,5,8,NEGATIVE
34,30,0,4,0,8,1,NEGATIVE
86,72,5,1,3,12,8,NEGATIVE
29,59,1,0,0,1,3,NEGATIVE
59,63,1,10,1,8,5,NEGATIVE
67,58,1,2,0,14,8,NEGATIVE
127,75,5,4,2,13,9,NEGATIVE
71,56,0,1,5,9,5,NEGATIVE
74,30,3,3,0,7,4,NEGATIVE
125,74,4,6,1,18,11,NEGATIVE
121,66,1,3,1,19,2,NEGATIVE
93,47,3,0,1,12,1,NEGATIVE
50,23,2,3,1,12,4,NEGATIVE
69,66,0,3,0,12,2,NEGATIVE
37,46,2,1,2,6,5,NEGATIVE
123,45,5,1,2,16,3,NEGATIVE
106,53,4,2,3,18,8,NEGATIVE
69,51,0,6,2,9,2,NEGATIVE
20,10,1,0,2,3,2,NEGATIVE
58,42,0,0,2,4,4,NEGATIVE
69,82,6,4,0,7,6,NEGATIVE
36,8,3,0,0,9,1,NEGATIVE
111,72,3,0,0,14,7,NEGATIVE
86,68,3,4,2,15,11,NEGATIVE
74,67,0,2,5,10,8,NEGATIVE
121,55,5,0,0,16,5,NEGATIVE
22,14,1,1,1,0,1,NEGATIVE
9,45,1,1,1,1,5,NEGATIVE
36,22,1,3,1,6,1,NEGATIVE
139,27,4,2,0,14,7,NEGATIVE
78,43,2,5,1,12,3,NEGATIVE
64,80,1,1,1,8,7,NEGATIVE
81,53,2,2,3,12,5,NEGATIVE
67,39,2,0,2,7,4,NEGATIVE
80,72,3,2,7,14,10,NEGATIVE
79,122,0,2,4,17,12,NEGATIVE
74,74,4,1,2,8,5,NEGATIVE
44,21,1,0,0,9,2,NEGATIVE
107,88,3,7,2,14,10,NEGATIVE
75,31,1,0,1,9,3,NEGATIVE
143,75,5,3,3,24,5,NEGATIVE
29,16,1,0,0,5,3,NEGATIVE
106,67,2,2,2,12,6,NEGATIVE
87,69,3,2,1,14,5,NEGATIVE
101,83,3,0,2,19,9,NEGATIVE
63,61,2,0,1,7,15,NEGATIVE
29,44,0,1,2,7,3,NEGATIVE
41,18,0,2,0,3,5,NEGATIVE
102,97,1,4,7,15,10,NEGATIVE
40,19,0,0,1,5,0,NEGATIVE
44,44,0,1,2,8,5,NEGATIVE
128,69,8,0,5,20,6,NEGATIVE
59,91,1,4,3,6,14,NEGATIVE
113,82,1,5,6,23,5,NEGATIVE
78,26,5,5,1,9,5,NEGATIVE
84,67,0,1,0,15,8,NEGATIVE
43,48,2,0,1,5,8,NEGATIVE
71,49,1,1,3,10,7,NEGATIVE
60,42,1,6,1,11,3,NEGATIVE
78,21,1,2,0,9,3,NEGATIVE
146,190,2,9,8,24,28,NEGATIVE
27,15,1,1,0,2,2,NEGATIVE
66,34,2,1,1,11,2,NEGATIVE
48,47,2,1,1,7,4,NEGATIVE
38,23,2,3,0,6,1,NEGATIVE
70,27,2,1,0,7,1,NEGATIVE
70,31,1,1,0,9,2,NEGATIVE
51,34,1,0,0,7,8,NEGATIVE
27,12,0,1,1,4,2,NEGATIVE
46,25,1,1,0,8,2,NEGATIVE
32,22,0,1,2,5,3,NEGATIVE
60,109,1,2,2,12,9,NEGATIVE
67,71,2,3,0,8,7,NEGATIVE
23,15,1,1,1,4,2,NEGATIVE
110,95,2,6,0,19,14,NEGATIVE
49,54,2,1,5,13,6,NEGATIVE
60,78,3,1,0,15,11,NEGATIVE
63,69,1,4,3,5,12,NEGATIVE
92,56,2,1,6,20,3,NEGATIVE
105,85,2,0,1,16,9,NEGATIVE
64,24,1,0,1,10,2,NEGATIVE
110,82,1,5,6,22,5,NEGATIVE
